Rank,Destination,Country,Visitors (millions),Famous For,Local Events and Festivals
1,Hong Kong,Hong Kong,23.7,Skyscrapers / Harbor Views / Dim Sum,Bun Festival / Chinese New Year
2,Singapore,Singapore,21.3,Modern Cityscape / Gardens by the Bay / Shopping,Chinese New Year / Deepavali
3,Bangkok,Thailand,15.8,Temples / Street Food / Nightlife,Songkran / Loy Krathong
4,London,UK,15.5,British Landmarks / Theaters / History,Notting Hill Carnival / Wimbledon Championships
5,Macau,Macau,13.4,Casinos / Entertainment / Portuguese Heritage,Macau Grand Prix / Chinese New Year
6,Kuala Lumpur,Malaysia,13.3,Petronas Towers / Cultural Diversity / Street Food,Thaipusam / Hari Raya Puasa
7,Shenzhen,China,12.1,Technology / Modern Architecture / Shopping,Lantern Festival / Double Ninth Festival
8,New York City,USA,11.6,Times Square / Central Park / Cultural Diversity,New Year's Eve in Times Square / Thanksgiving Parade
9,Antalya,Turkey,10.3,Mediterranean Coast / Beach Resorts / History,Antalya International Film Festival / Aspendos Opera and Ballet Festival
10,Paris,France,9.8,Eiffel Tower / Louvre Museum / Romance,Bastille Day / Paris Jazz Festival
11,Istanbul,Turkey,8.8,Hagia Sophia / Blue Mosque / Bosphorus,Istanbul International Film Festival / Istanbul Music Festival
12,Rome,Italy,8.7,Colosseum / Vatican City / Ancient History,Carnival of Rome / Estate Romana Festival
13,Dubai,UAE,8,Burj Khalifa / Luxury Shopping / Desert Safari,Dubai Shopping Festival / Dubai World Cup
14,Guangzhou,China,7.9,Canton Tower / Pearl River / Modern Architecture,Canton Fair / Mid-Autumn Festival
15,Phuket,Thailand,7.2,Beaches / Island Paradise / Water Activities,Vegetarian Festival / Loy Krathong
16,Mecca,Saudi Arabia,6.9,Islamic Pilgrimage / Grand Mosque / History,Hajj / Ramadan
17,Pattaya,Thailand,6.6,Beach Resorts / Nightlife / Water Activities,Pattaya International Music Festival / Songkran
18,Taipei City,Taiwan,6.6,Temples / Street Food / Night Markets,Taipei Lantern Festival / Double Tenth Day
19,Prague,Czech Republic,6.5,Prague Castle / Charles Bridge / Old Town Square,Prague Spring International Music Festival / Prague International Film Festival
20,Shanghai,China,6.5,The Bund / Oriental Pearl Tower / Modern City,Shanghai International Film Festival / Chinese New Year
21,Las Vegas,USA,6.3,Gambling / Entertainment / Nightlife,New Year's Eve on the Las Vegas Strip / Electric Daisy Carnival
22,Miami,USA,6,Beaches / Art Deco Historic District / Nightlife,Art Basel Miami Beach / Ultra Music Festival
23,Barcelona,Spain,5.5,Sagrada Familia / Park Guell / Gaudi Architecture,La Mercè Festival / Barcelona Carnival
24,Moscow,Russia,5,Red Square / Kremlin / Russian Culture,Moscow International Film Festival / Victory Day Parade
25,Beijing,China,5,Great Wall / Forbidden City / Chinese Heritage,Chinese New Year / Mid-Autumn Festival
26,Los Angeles,USA,5,Hollywood / Universal Studios / Beaches,Academy Awards (Oscars) / LA Pride Festival
27,Budapest,Hungary,4.8,Buda Castle / Parliament / Thermal Baths,Budapest International Documentary Festival / Budapest Wine Festival
28,Vienna,Austria,4.3,Historic Palaces / Classical Music / Coffeehouses,Vienna Opera Ball / Vienna International Film Festival
29,Amsterdam,Netherlands,4.3,Canals / Van Gogh Museum / Red-Light District,King's Day (Koningsdag) / Amsterdam Dance Event (ADE)
30,Sofia,Bulgaria,4.1,Alexander Nevsky Cathedral / Vitosha Mountain / History,Sofia International Film Festival / St. Sofia Day
31,Madrid,Spain,4.1,Royal Palace / Prado Museum / Tapas,San Isidro Festival / Madrid Pride
32,Orlando,USA,4.1,Walt Disney World / Universal Orlando / Theme Parks,Epcot International Food & Wine Festival / Orlando Film Festival
33,Ho Chi Minh City,Vietnam,3.9,War Remnants Museum / Street Food / History,Tet Festival / Mid-Autumn Festival
34,Lima,Peru,3.8,Machu Picchu / Historic Center / Coastal Cuisine,Inti Raymi / Mistura Food Festival
35,Berlin,Germany,3.8,Brandenburg Gate / Berlin Wall / Cultural Scene,Berlin International Film Festival (Berlinale) / Karneval der Kulturen
36,Tokyo,Japan,3.7,Shibuya Crossing / Harajuku Fashion / Sushi,Sumida River Fireworks Festival / Kanda Matsuri
37,Warsaw,Poland,3.7,Old Town / Royal Castle / Polish History,Warsaw International Film Festival / Warsaw Beer Festival
38,Chennai,India,3.5,Marina Beach / Kapaleeshwarar Temple / South Indian Cuisine,Pongal / Chennai International Film Festival
39,Cairo,Egypt,3.5,Pyramids / Sphinx / Ancient History,Cairo International Film Festival / Shem el Nessim
40,Nairobi,Kenya,3.4,Nairobi National Park / Giraffe Centre / Maasai Markets,Kenya International Film Festival / Koroga Festival
41,Hangzhou,China,3.4,West Lake / Lingyin Temple / Tea Culture,West Lake International Expo / G20 Hangzhou Summit
42,Milan,Italy,3.3,Duomo di Milano / Leonardo da Vinci's The Last Supper / Fashion,Milan Fashion Week / La Scala Opening Night
43,San Francisco,USA,3.2,Golden Gate Bridge / Alcatraz / Tech Innovation,San Francisco International Film Festival / Outside Lands Music and Arts Festival
44,Buenos Aires,Argentina,3.2,Tango / Steak / Historic Neighborhoods,Carnaval Porteño / Buenos Aires International Independent Film Festival
45,Venice,Italy,3.2,Canals / St. Mark's Square / Art,Venice Carnival / Venice Film Festival
46,Mexico City,Mexico,3.1,Palacio de Bellas Artes / Frida Kahlo Museum / Street Food,Day of the Dead (Dia de los Muertos) / International Contemporary Film Festival
47,Dublin,Ireland,3.1,Guinness Storehouse / Trinity College / Pub Culture,St. Patrick's Day / Dublin International Film Festival
48,Seoul,South Korea,3,Gyeongbokgung Palace / Bukchon Hanok Village / K-Pop,Seoul International Fireworks Festival / Seoul Lantern Festival
49,Mugla,Turkey,3,Marmaris / Bodrum / Turquoise Coast,Marmaris Yacht Charter Show / Bodrum International Ballet Festival
50,Mumbai,India,3,Gateway of India / Bollywood / Street Food,Ganesh Chaturthi / Kala Ghoda Arts Festival
51,Denpasar,Indonesia,3,Beaches / Water Temples / Balinese Culture,Bali Arts Festival / Sanur Village Festival
52,Delhi,India,2.9,Red Fort / Taj Mahal / Street Markets,Diwali / International Mango Festival
53,Toronto,Canada,2.8,CN Tower / Royal Ontario Museum / Multiculturalism,Toronto International Film Festival / Caribana
